ProductKey;ProductSubcategoryKey;ProductSKU;ProductName;ModelName;ProductDescription;ProductColor;ProductSize;ProductStyle;ProductCost;ProductPrice
214;31;HL-U509-R;Sport-100 Helmet, Red;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Red;0;0;130.863;34.99
215;31;HL-U509;Sport-100 Helmet, Black;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Black;0;0;120.278;336.442
218;23;SO-B909-M;Mountain Bike Socks, M;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;White;M;U;33.963;9.5
219;23;SO-B909-L;Mountain Bike Socks, L;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;White;L;U;33.963;9.5
220;31;HL-U509-B;Sport-100 Helmet, Blue;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Blue;0;0;120.278;336.442
223;19;CA-1098;AWC Logo Cap;Cycling Cap;Traditional style with a flip-up brim;;;;;
226;21;LJ-0192-S;Long-Sleeve Logo Jersey, S;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;S;U;317.244;480.673
229;21;LJ-0192-M;Long-Sleeve Logo Jersey, M;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;M;U;317.244;480.673
232;21;LJ-0192-L;Long-Sleeve Logo Jersey, L;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;L;U;317.244;480.673
235;21;LJ-0192-X;Long-Sleeve Logo Jersey, XL;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;XL;U;317.244;480.673
238;14;FR-R92R-62;HL Road Frame - Red, 62;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy;;;;;
241;14;FR-R92R-44;HL Road Frame - Red, 44;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy;;;;;
244;14;FR-R92R-48;HL Road Frame - Red, 48;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy;;;;;
247;14;FR-R92R-52;HL Road Frame - Red, 52;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy;;;;;
250;14;FR-R92R-56;HL Road Frame - Red, 56;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy;;;;;
253;14;FR-R38B-58;LL Road Frame - Black, 58;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;58;U;1.761.997;2.976.346
256;14;FR-R38B-60;LL Road Frame - Black, 60;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;60;U;1.761.997;2.976.346
259;14;FR-R38B-62;LL Road Frame - Black, 62;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;62;U;1.761.997;2.976.346
262;14;FR-R38R-44;LL Road Frame - Red, 44;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;44;U;1.814.857;3.065.636
264;14;FR-R38R-48;LL Road Frame - Red, 48;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;48;U;1.814.857;3.065.636
266;14;FR-R38R-52;LL Road Frame - Red, 52;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;52;U;1.814.857;3.065.636
268;14;FR-R38R-58;LL Road Frame - Red, 58;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;58;U;1.814.857;3.065.636
270;14;FR-R38R-60;LL Road Frame - Red, 60;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;60;U;1.814.857;3.065.636
272;14;FR-R38R-62;LL Road Frame - Red, 62;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;62;U;1.814.857;3.065.636
274;14;FR-R72R-44;ML Road Frame - Red, 44;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;44;U;3.521.394;594.83
275;14;FR-R72R-48;ML Road Frame - Red, 48;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;48;U;3.521.394;594.83
276;14;FR-R72R-52;ML Road Frame - Red, 52;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;52;U;3.521.394;594.83
277;14;FR-R72R-58;ML Road Frame - Red, 58;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;58;U;3.521.394;594.83
278;14;FR-R72R-60;ML Road Frame - Red, 60;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;60;U;3.521.394;594.83
279;14;FR-R38B-44;LL Road Frame - Black, 44;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;44;U;1.761.997;2.976.346
282;14;FR-R38B-48;LL Road Frame - Black, 48;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;48;U;1.761.997;2.976.346
285;14;FR-R38B-52;LL Road Frame - Black, 52;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;52;U;1.761.997;2.976.346
288;12;FR-M94S-42;HL Mountain Frame - Silver, 42;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;42;U;6.238.403;12.043.248
291;12;FR-M94S-44;HL Mountain Frame - Silver, 44;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;44;U;706.811;1364.5
292;12;FR-M94S-52;HL Mountain Frame - Silver, 48;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;48;U;706.811;1364.5
293;12;FR-M94S-46;HL Mountain Frame - Silver, 46;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;46;U;6.238.403;12.043.248
296;12;FR-M94B-42;HL Mountain Frame - Black, 42;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;42;U;6.170.281;11.911.739
299;12;FR-M94B-44;HL Mountain Frame - Black, 44;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;44;U;6.990.928;1349.6
300;12;FR-M94B-48;HL Mountain Frame - Black, 48;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;48;U;6.990.928;1349.6
301;12;FR-M94B-46;HL Mountain Frame - Black, 46;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;46;U;6.170.281;11.911.739
304;12;FR-M94B-38;HL Mountain Frame - Black, 38;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;38;U;6.170.281;11.911.739
307;12;FR-M94S-38;HL Mountain Frame - Silver, 38;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;38;U;6.238.403;12.043.248
310;2;BK-R93R-62;Road-150 Red, 62;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;62;U;21.712.942;3578.27
311;2;BK-R93R-44;Road-150 Red, 44;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;44;U;21.712.942;3578.27
312;2;BK-R93R-48;Road-150 Red, 48;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;48;U;21.712.942;3578.27
313;2;BK-R93R-52;Road-150 Red, 52;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;52;U;21.712.942;3578.27
314;2;BK-R93R-56;Road-150 Red, 56;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;56;U;21.712.942;3578.27
315;2;BK-R68R-58;Road-450 Red, 58;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;58;U;8.847.083;1457.99
316;2;BK-R68R-60;Road-450 Red, 60;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;60;U;8.847.083;1457.99
317;2;BK-R68R-44;Road-450 Red, 44;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;44;U;8.847.083;1457.99
318;2;BK-R68R-48;Road-450 Red, 48;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;48;U;8.847.083;1457.99
319;2;BK-R68R-52;Road-450 Red, 52;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;52;U;8.847.083;1457.99
320;2;BK-R50R-58;Road-650 Red, 58;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;58;U;4.131.463;6.990.982
322;2;BK-R50R-60;Road-650 Red, 60;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;60;U;4.131.463;6.990.982
324;2;BK-R50R-62;Road-650 Red, 62;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;62;U;4.131.463;6.990.982
326;2;BK-R50R-44;Road-650 Red, 44;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;44;U;4.131.463;6.990.982
328;2;BK-R50R-48;Road-650 Red, 48;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;48;U;4.131.463;6.990.982
330;2;BK-R50R-52;Road-650 Red, 52;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;52;U;4.131.463;6.990.982
332;2;BK-R50B-58;Road-650 Black, 58;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;58;U;4.131.463;6.990.982
334;2;BK-R50B-60;Road-650 Black, 60;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;60;U;4.131.463;6.990.982
336;2;BK-R50B-62;Road-650 Black, 62;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;62;U;4.131.463;6.990.982
338;2;BK-R50B-44;Road-650 Black, 44;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;44;U;4.131.463;6.990.982
340;2;BK-R50B-48;Road-650 Black, 48;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;48;U;4.131.463;6.990.982
342;2;BK-R50B-52;Road-650 Black, 52;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;52;U;4.131.463;6.990.982
344;1;BK-M82S-38;Mountain-100 Silver, 38;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Silver;38;U;19.121.544;3399.99
345;1;BK-M82S-42;Mountain-100 Silver, 42;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Silver;42;U;19.121.544;3399.99
346;1;BK-M82S-44;Mountain-100 Silver, 44;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Silver;44;U;19.121.544;3399.99
347;1;BK-M82S-48;Mountain-100 Silver, 48;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Silver;48;U;19.121.544;3399.99
348;1;BK-M82B-38;Mountain-100 Black, 38;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Black;38;U;18.980.944;3374.99
349;1;BK-M82B-42;Mountain-100 Black, 42;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Black;42;U;18.980.944;3374.99
350;1;BK-M82B-44;Mountain-100 Black, 44;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Black;44;U;18.980.944;3374.99
351;1;BK-M82B-48;Mountain-100 Black, 48;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Black;48;U;18.980.944;3374.99
352;1;BK-M68S-38;Mountain-200 Silver, 38;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Silver;38;U;11.178.559;20.714.196
354;1;BK-M68S-42;Mountain-200 Silver, 42;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Silver;42;U;11.178.559;20.714.196
356;1;BK-M68S-46;Mountain-200 Silver, 46;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Silver;46;U;11.178.559;20.714.196
358;1;BK-M68B-38;Mountain-200 Black, 38;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Black;38;U;1105.81;20.490.982
360;1;BK-M68B-42;Mountain-200 Black, 42;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Black;42;U;1105.81;20.490.982
362;1;BK-M68B-46;Mountain-200 Black, 46;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Black;46;U;1105.81;20.490.982
364;1;BK-M47B-38;Mountain-300 Black, 38;Mountain-300;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;38;U;5.984.354;1079.99
365;1;BK-M47B-40;Mountain-300 Black, 40;Mountain-300;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;40;U;5.984.354;1079.99
366;1;BK-M47B-44;Mountain-300 Black, 44;Mountain-300;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;44;U;5.984.354;1079.99
367;1;BK-M47B-48;Mountain-300 Black, 48;Mountain-300;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;48;U;5.984.354;1079.99
368;2;BK-R89R-44;Road-250 Red, 44;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Red;44;U;15.187.864;2443.35
369;2;BK-R89R-48;Road-250 Red, 48;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Red;48;U;15.187.864;2443.35
370;2;BK-R89R-52;Road-250 Red, 52;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Red;52;U;15.187.864;2443.35
371;2;BK-R89R-58;Road-250 Red, 58;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Red;58;U;13.206.838;21.815.625
373;2;BK-R89B-44;Road-250 Black, 44;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Black;44;U;13.206.838;21.815.625
375;2;BK-R89B-48;Road-250 Black, 48;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Black;48;U;13.206.838;21.815.625
377;2;BK-R89B-52;Road-250 Black, 52;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Black;52;U;13.206.838;21.815.625
379;2;BK-R89B-58;Road-250 Black, 58;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Black;58;U;13.206.838;21.815.625
381;2;BK-R64Y-38;Road-550-W Yellow, 38;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;38;W;6.056.492;10.004.375
383;2;BK-R64Y-40;Road-550-W Yellow, 40;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;40;W;6.056.492;10.004.375
385;2;BK-R64Y-42;Road-550-W Yellow, 42;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;42;W;6.056.492;10.004.375
387;2;BK-R64Y-44;Road-550-W Yellow, 44;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;44;W;6.056.492;10.004.375
389;2;BK-R64Y-48;Road-550-W Yellow, 48;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;48;W;6.056.492;10.004.375
391;10;FK-1639;LL Fork;LL Fork;Stout design absorbs shock and offers more precise steering.;NA;0;0;658.097;148.22
392;10;FK-5136;ML Fork;ML Fork;Composite road fork with an aluminum steerer tube.;NA;0;0;779.176;175.49
393;10;FK-9939;HL Fork;HL Fork;High-performance carbon road fork with curved legs.;NA;0;0;1.018.936;229.49
394;11;HS-0296;LL Headset;LL Headset;Threadless headset provides quality at an economical price.;NA;0;0;151.848;34.2
395;11;HS-2451;ML Headset;ML Headset;Sealed cartridge keeps dirt out.;NA;0;0;454.168;102.29
396;11;HS-3479;HL Headset;HL Headset;"High-quality 1"" threadless headset with a grease port for quick lubrication.";NA;0;0;553.801;124.73
397;4;HB-M243;LL Mountain Handlebars;LL Mountain Handlebars;All-purpose bar for on or off-road.;NA;0;0;17.978;404.909
399;4;HB-M763;ML Mountain Handlebars;ML Mountain Handlebars;Tough aluminum alloy bars for downhill.;NA;0;0;249.932;562.909
401;4;HB-M918;HL Mountain Handlebars;HL Mountain Handlebars;Flat bar strong enough for the pro circuit.;NA;0;0;485.453;1.093.364
403;4;HB-R504;LL Road Handlebars;LL Road Handlebars;Unique shape provides easier reach to the levers.;NA;0;0;17.978;404.909
405;4;HB-R720;ML Road Handlebars;ML Road Handlebars;Anatomically shaped aluminum tube bar will suit all riders.;NA;0;0;249.932;562.909
407;4;HB-R956;HL Road Handlebars;HL Road Handlebars;Designed for racers;;;;;
409;12;FR-M63B-38;ML Mountain Frame - Black, 38;ML Mountain Frame-W;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.;Black;38;U;1.858.193;348.76
410;17;FW-M423;LL Mountain Front Wheel;LL Mountain Front Wheel;Replacement mountain wheel for entry-level rider.;Black;0;0;269.708;60.745
411;17;FW-M762;ML Mountain Front Wheel;ML Mountain Front Wheel;Replacement mountain wheel for the casual to serious rider.;Black;0;0;928.071;209.025
412;17;FW-M928;HL Mountain Front Wheel;HL Mountain Front Wheel;High-performance mountain replacement wheel.;Black;0;0;1.332.955;300.215
413;17;FW-R623;LL Road Front Wheel;LL Road Front Wheel;Replacement road front wheel for entry-level cyclist.;Black;0;0;379.909;85.565
414;17;FW-R762;ML Road Front Wheel;ML Road Front Wheel;Sturdy alloy features a quick-release hub.;Black;0;0;1.102.829;248.385
415;17;FW-R820;HL Road Front Wheel;HL Road Front Wheel;Strong wheel with double-walled rim.;Black;0;0;1.465.466;330.06
416;17;FW-T905;Touring Front Wheel;Touring Front Wheel;Aerodynamic rims for smooth riding.;Black;0;0;967.964;218.01
417;14;FR-R72Y-38;ML Road Frame-W - Yellow, 38;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;38;W;3.001.188;5.407.545
419;17;RW-M423;LL Mountain Rear Wheel;LL Mountain Rear Wheel;Replacement mountain wheel for entry-level rider.;Black;0;0;389.588;87.745
420;17;RW-M762;ML Mountain Rear Wheel;ML Mountain Rear Wheel;Replacement mountain wheel for the casual to serious rider.;Black;0;0;1.047.951;236.025
421;17;RW-M928;HL Mountain Rear Wheel;HL Mountain Rear Wheel;High-performance mountain replacement wheel.;Black;0;0;1.452.835;327.215
422;17;RW-R623;LL Road Rear Wheel;LL Road Rear Wheel;Replacement road rear wheel for entry-level cyclist.;Black;0;0;499.789;112.565
423;17;RW-R762;ML Road Rear Wheel;ML Road Rear Wheel;Aluminum alloy rim with stainless steel spokes;;;;;
424;17;RW-R820;HL Road Rear Wheel;HL Road Rear Wheel;Strong rear wheel with double-walled rim.;Black;0;0;1.585.346;357.06
425;17;RW-T905;Touring Rear Wheel;Touring Rear Wheel;Excellent aerodynamic rims guarantee a smooth ride.;Black;0;0;1.087.844;245.01
426;12;FR-M63B-40;ML Mountain Frame - Black, 40;ML Mountain Frame;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;Black;40;U;1.858.193;348.76
427;12;FR-M63B-44;ML Mountain Frame - Black, 44;ML Mountain Frame;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;Black;44;U;1.858.193;348.76
428;12;FR-M63B-48;ML Mountain Frame - Black, 48;ML Mountain Frame;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;Black;48;U;1.858.193;348.76
429;14;FR-R72Y-40;ML Road Frame-W - Yellow, 40;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;40;W;3.001.188;5.407.545
431;14;FR-R72Y-42;ML Road Frame-W - Yellow, 42;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;42;W;3.001.188;5.407.545
433;14;FR-R72Y-44;ML Road Frame-W - Yellow, 44;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;44;W;3.001.188;5.407.545
435;14;FR-R72Y-48;ML Road Frame-W - Yellow, 48;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;48;W;3.001.188;5.407.545
